source_name	normalized_name
Hereditary_breast_and_ovarian_cancer_syndrome	Hereditary breast and ovarian cancer syndrome
Thrombophilia_due_to_activated_protein_C_resistance	Thrombophilia due to activated protein C resistance
Hereditary_hemochromatosis	Hereditary hemochromatosis
Cystic_fibrosis	Cystic fibrosis
Sickle_cell_disease	Sickle cell disease
Li-Fraumeni_syndrome	Li-Fraumeni syndrome
Phenylketonuria	Phenylketonuria
Nonsyndromic_hearing_loss	Nonsyndromic hearing loss
Familial_hypercholesterolemia	Familial hypercholesterolemia
not_specified	not specified
